b	eps
-10	46850923.01
-9.9	39594294.82
-9.8	32430716.25
-9.7	25360198.56
-9.6	18382753
-9.5	11498390.82
-9.4	4707123.266
-9.3	-1991038.412
-9.2	-8596082.965
-9.1	-15107999.14
-9	-21526775.69
-8.9	-27852401.37
-8.8	-34084864.92
-8.7	-40224155.09
-8.6	-46270260.64
-8.5	-52223170.32
-8.4	-58082872.87
-8.3	-63849357.05
-8.2	-69522611.61
-8.1	-75102625.29
-8	-80589386.85
-7.9	-85982885.03
-7.8	-91283108.6
-7.7	-96490046.29
-7.6	-101603686.9
-7.5	-106624019
-7.4	-111551031.6
-7.3	-116384713.3
-7.2	-121125052.9
-7.1	-125772039.1
-7	-130325660.7
-6.9	-134785906.4
-6.8	-139152765
-6.7	-143426225.2
-6.6	-147606275.8
-6.5	-151692905.6
-6.4	-155686103.2
-6.3	-159585857.4
-6.2	-163392157.1
-6.1	-167104990.8
-6	-170724347.4
-5.9	-174250215.7
-5.8	-177682584.3
-5.7	-181021442.1
-5.6	-184266777.8
-5.5	-187418580.1
-5.4	-190476837.7
-5.3	-193441539.5
-5.2	-196312674.2
-5.1	-199090230.5
-5	-201774197.2
-4.9	-204364563
-4.8	-206861316.7
-4.7	-209264447
-4.6	-211573942.7
-4.5	-213789792.6
-4.4	-215911985.3
-4.3	-217940509.7
-4.2	-219875354.4
-4.1	-221716508.3
-4	-223463960
-3.9	-225117698.4
-3.8	-226677712.1
-3.7	-228143990
-3.6	-229516520.8
-3.5	-230795293.2
-3.4	-231980296
-3.3	-233071517.9
-3.2	-234068947.7
-3.1	-234972574.1
-3	-235782386
-2.9	-236498371.9
-2.8	-237120520.7
-2.7	-237648821.2
-2.6	-238083262
-2.5	-238423832
-2.4	-238670519.8
-2.3	-238823314.3
-2.2	-238882204.2
-2.1	-238847178.2
-2	-238718225
-1.9	-238495333.5
-1.8	-238178492.4
-1.7	-237767690.4
-1.6	-237262916.3
-1.5	-236664158.9
-1.4	-235971406.8
-1.3	-235184648.8
-1.2	-234303873.7
-1.1	-233329070.3
-1	-232260227.2
-0.9	-231097333.3
-0.8	-229840377.2
-0.7	-228489347.8
-0.6	-227044233.8
-0.5	-225505023.8
-0.4	-223871706.8
-0.3	-222144271.4
-0.2	-220322706.4
-0.1	-218407000.5
0	-216397142.5
0.1	-214293121.1
0.2	-212094925.1
0.3	-209802543.3
0.4	-207415964.3
0.5	-204935176.9
0.6	-202360169.9
0.7	-199690932.1
0.8	-196927452.1
0.9	-194069718.8
1	-191117720.8
1.1	-188071447
1.2	-184930886.1
1.3	-181696026.8
1.4	-178366857.8
1.5	-174943368
1.6	-171425546.1
1.7	-167813380.8
1.8	-164106860.9
1.9	-160305975.2
2	-156410712.3
2.1	-152421061
2.2	-148337010.1
2.3	-144158548.3
2.4	-139885664.5
2.5	-135518347.2
2.6	-131056585.4
2.7	-126500367.6
2.8	-121849682.8
2.9	-117104519.6
3	-112264866.7
3.1	-107330713
3.2	-102302047.2
3.3	-97178857.98
3.4	-91961134.17
3.5	-86648864.48
3.6	-81242037.68
3.7	-75740642.5
3.8	-70144667.71
3.9	-64454102.05
4	-58668934.27
4.1	-52789153.12
4.2	-46814747.36
4.3	-40745705.72
4.4	-34582016.97
4.5	-28323669.85
4.6	-21970653.11
4.7	-15522955.5
4.8	-8980565.78
4.9	-2343472.688
5	4388335.022
5.1	11214868.6
5.2	18136139.29
5.3	25152158.36
5.4	32262937.03
5.5	39468486.58
5.6	46768818.24
5.7	54163943.27
5.8	61653872.91
5.9	69238618.42
6	76918191.05
6.1	84692602.04
6.2	92561862.65
6.3	100525984.1
6.4	108584977.7
6.5	116738854.7
6.6	124987626.2
6.7	133331303.7
6.8	141769898.2
6.9	150303421.1
7	158931883.7
7.1	167655297
7.2	176473672.5
7.3	185387021.4
7.4	194395354.9
7.5	203498684.2
7.6	212697020.7
7.7	221990375.5
7.8	231378759.9
7.9	240862185.2
8	250440662.6
8.1	260114203.3
8.2	269882818.7
8.3	279746519.9
8.4	289705318.3
8.5	299759225
8.6	309908251.3
8.7	320152408.4
8.8	330491707.7
8.9	340926160.3
9	351455777.6
9.1	362080570.6
9.2	372800550.8
9.3	383615729.4
9.4	394526117.5
9.5	405531726.6
9.6	416632567.7
9.7	427828652.1
9.8	439119991.2
9.9	450506596.1
10	461988478.2
